ID,Oras,Judet,Tip Artera,Nume Artera,Numar,Suprafata,Suprafata2,An,Finisaje,Latitudine,Longitudine,"Pret","Preț unitar
(€/m²)"
1015,Bucuresti,Bucuresti,,,,528,425,2001,standard,44.41672688,26.11366302,597000,1130.68
1016,Bucuresti,Bucuresti,,,,320,250,2000,standard,44.41730545,26.12680316,325000,1015.63
1017,Bucuresti,Bucuresti,Strada,Novaci,,437,460,2005,standard,44.41733306,26.06583051,455000,1041.19
1018,Bucuresti,Bucuresti,,,,250,185,2010,standard,44.41812924,26.11800469,400000,1600
1019,Bucuresti,Bucuresti,Strada,Cara Anghel,,75,120,1950,standard,44.41869643,26.0474466,96900,1292
1020,Bucuresti,Bucuresti,Strada,Cara Anghel,,75,120,1950,standard,44.41870019,26.04753729,96900,1292
1021,Bucuresti,Bucuresti,Strada,Logofat Tautu,,92,80,<1990,standard,44.4188612,26.11686025,125000,1358.7
1022,Bucuresti,Bucuresti,Strada,Drumul Sarii,,322,220,<1977,standard,44.41932467,26.05885507,295000,916.15
1023,Bucuresti,Bucuresti,Strada,Crinul de Gradina,,176,250,2018,standard,44.41948219,26.18562792,199999,1136.36
1024,Bucuresti,Bucuresti,Strada,Mircea Voda,,550,304,2000,standard,44.41967741,26.11266645,627990,1141.8
1025,Bucuresti,Bucuresti,,,,280,220,1947,standard,44.42051905,26.05824966,295000,1053.57
1026,Bucuresti,Bucuresti,,,,250,150,2015,standard,44.421992,26.13068067,275000,1100
1027,Bucuresti,Bucuresti,,,,336,208,2014,standard,44.42232846,26.05961801,405000,1205.36
1028,Bucuresti,Bucuresti,,,,228,15,1919,superior,44.42324881,26.12262905,263000,1153.51
1029,Bucuresti,Bucuresti,,,,196,172,2015,standard,44.42425731,26.0712939,290000,1479.59
1030,Bucuresti,Bucuresti,,,,261,228,2003,standard,44.42478656,26.13331852,495000,1896.55
1031,Bucuresti,Bucuresti,Strada,Lt Av Caranda Gheorghe,,130,191,<2000,inferior,44.42547548,26.05879079,169000,1300
1032,Bucuresti,Bucuresti,Strada,Drumul Sarii,,350,220,1941,standard,44.42637414,26.06003763,295000,842.86
1033,Bucuresti,Bucuresti,Strada,Nicodim,,460,535,2005,standard,44.4267829,26.01458699,395000,858.7
1034,Bucuresti,Bucuresti,Strada,Sergent Nutu Vasile,,130,221,1920,inferior,44.42707854,26.06039406,140000,1076.92
1035,Bucuresti,Bucuresti,Strada,Drumul Sarii,,240.35,209,1950,inferior,44.42732254,26.0597353,245000,1019.35
1036,Bucuresti,Bucuresti,Strada,Drumul Sarii,,270.25,200,2014,standard,44.42752175,26.06025028,400000,1480.11
1037,Bucuresti,Bucuresti,Strada,Drumul Sarii,,130,221,1920,inferior,44.42758305,26.06032419,140000,1076.92
1038,Bucuresti,Bucuresti,Strada,Drumul Sarii,,92,260,1950,inferior,44.42788952,26.06025028,125000,1358.7
1039,Bucuresti,Bucuresti,Strada,Drumul Sarii,,336,208,2014,standard,44.42837987,26.06074381,405900,1208.04
1040,Bucuresti,Bucuresti,Strada,Drumul Sarii,,270.25,200,2014,standard,44.42864037,26.06088448,400000,1480.11
1041,Bucuresti,Bucuresti,Strada,Randunelelor,,700,350,2007,superior,44.4287428,26.12321117,1350000,1928.57
1042,Bucuresti,Bucuresti,,,,300,119,2008,standard,44.4291391,26.03496164,240000,800
1043,Bucuresti,Bucuresti,,,,730,1600,2000,standard,44.42928903,26.12097573,1170000,1602.74
1044,Bucuresti,Bucuresti,,,,195.5,90,2009,standard,44.43166072,26.12896768,270000,1381.07
1045,Bucuresti,Bucuresti,,,,180,150,1952,standard,44.43482382,26.14776576,279000,1550
1046,Bucuresti,Bucuresti,Strada,Constantin Tanase,,150,151,1943,standard,44.43723531,26.14469689,250000,1666.67
1047,Bucuresti,Bucuresti,,,,208,2011,1995,inferior,44.43756762,26.01426242,115000,552.88
1048,Bucuresti,Bucuresti,,,,172.5,190,1941,inferior,44.43763731,26.14361125,220000,1275.36
1049,Bucuresti,Bucuresti,,,,64,80,1960,inferior,44.43788244,26.14331085,76000,1187.5
1050,Bucuresti,Bucuresti,,,,155.25,119,1938,standard,44.43849863,26.14406245,249000,1603.86
1051,Bucuresti,Bucuresti,Strada,Dezrobirii,,800,500,2000,standard,44.43905544,26.02431524,590000,737.5
1052,Bucuresti,Bucuresti,,,,378,175,1998,inferior,44.43962995,26.14193601,300000,793.65
1053,Bucuresti,Bucuresti,,,,110,210,1940,inferior,44.44094656,26.15009147,145000,1318.18
1054,Bucuresti,Bucuresti,Bulevard,Uverturii,,280,300,1996,standard,44.44103371,26.02437229,183000,653.57
1055,Bucuresti,Bucuresti,Strada,Mircea Vulcanescu,,270,400,1972,standard,44.44144549,26.07549954,299000,1107.41
1056,Bucuresti,Bucuresti,,,,306,22,1920,inferior,44.44156284,26.083597,308000,1006.54
1057,Bucuresti,Bucuresti,,,,622,504,1997,standard,44.44327191,26.01989561,398700,641
1058,Bucuresti,Bucuresti,,,,240,200,1943,standard,44.44452704,26.06729477,199000,829.17
1059,Bucuresti,Bucuresti,,,,180,254,1940,standard,44.44457635,26.15267843,260000,1444.44
1060,Bucuresti,Bucuresti,,,,220,150,1948,inferior,44.44475202,26.06699095,199000,904.55
1061,Bucuresti,Bucuresti,,,,110,80,1945,inferior,44.44490838,26.08267132,105000,954.55
1062,Bucuresti,Bucuresti,Strada,Eufrosin Poteca,,175,254,1938,standard,44.44552568,26.13850633,260000,1485.71
1063,Bucuresti,Bucuresti,Strada,Barierei,,104,485,1968,standard,44.44710804,26.06845955,83999,807.68
1064,Bucuresti,Bucuresti,,,,356.5,411,1934,standard,44.44727247,26.13791555,480000,1346.42
1065,Bucuresti,Bucuresti,,,,95,150,2015,standard,44.44779498,26.14939482,99500,1047.37
1066,Bucuresti,Bucuresti,,,,95,150,2015,standard,44.44779498,26.14939482,99500,1047.37
1067,Bucuresti,Bucuresti,,,,138,234,2008,standard,44.45192985,26.04768008,150000,1086.96
1068,Bucuresti,Bucuresti,,,,270,250,2016,standard,44.45330934,26.14767821,279000,1033.33
1069,Bucuresti,Bucuresti,,,,270,250,2016,standard,44.45330934,26.14767821,279000,1033.33
1070,Bucuresti,Bucuresti,,,,300,290,2018,standard,44.45343188,26.14124091,329900,1099.67
1071,Bucuresti,Bucuresti,,,,300,290,2018,standard,44.45343188,26.14124091,329900,1099.67
1072,Bucuresti,Bucuresti,,,,198.95,250,2008,superior,44.45621853,26.04725093,200000,1005.28
1073,Bucuresti,Bucuresti,,,,270,100,2012,standard,44.45632946,26.13027822,295000,1092.59
1074,Bucuresti,Bucuresti,,,,300,500,2007,superior,44.45646359,26.04862422,345000,1150
1075,Bucuresti,Bucuresti,,,,450,422,2014,standard,44.45723276,26.11176074,645000,1433.33
1076,Bucuresti,Bucuresti,,,,144.9,151,1941,standard,44.45776301,26.06616886,162000,1118.01
1077,Bucuresti,Bucuresti,Strada,Islaz,,488,500,2000,superior,44.46079584,26.06517029,769000,1575.82
1078,Bucuresti,Bucuresti,,,,225,250,2008,superior,44.46093573,26.04622096,210000,933.33
1079,Bucuresti,Bucuresti,,,,80,71,1950,inferior,44.46116276,26.05795821,105000,1312.5
1080,Bucuresti,Bucuresti,Strada,Costache Sibiceanu,,412,480,2002,superior,44.46163203,26.06695061,540000,1310.68
1081,Bucuresti,Bucuresti,,,,215,198,2018,standard,44.46222528,26.05517548,230000,1069.77
1082,Bucuresti,Bucuresti,,,,557.75,300,2001,standard,44.4623478,26.05446976,700000,1255.04
1083,Bucuresti,Bucuresti,,,,850,362,2010,superior,44.46299172,26.10454559,1800000,2117.65
1084,Bucuresti,Bucuresti,,,,804,609,<2010,superior,44.46311424,26.10506058,1900000,2363.18
1085,Bucuresti,Bucuresti,Strada,Calea Grivitei,,416,530,1999,standard,44.46449351,26.05517796,500000,1201.92
1086,Bucuresti,Bucuresti,,,,1053,361,2010,superior,44.46470691,26.1054039,1790000,1699.91
1087,Bucuresti,Bucuresti,,,,350,300,2000,superior,44.4658095,26.10553265,709000,2025.71
1088,Bucuresti,Bucuresti,,,,410,200,1940,standard,44.46604384,26.06749136,450000,1097.56
1089,Bucuresti,Bucuresti,,,,420,181,1994,standard,44.46607545,26.0674139,445000,1059.52
1090,Bucuresti,Bucuresti,,,,280,700,1998,standard,44.46621162,26.05113882,378000,1350
1091,Bucuresti,Bucuresti,Bulevard,Ion Mihalache,,500,235,2000,superior,44.46915735,26.05705896,650000,1300
1092,Bucuresti,Bucuresti,,,,100,79,2017,standard,44.47101138,26.15476191,119000,1190
1093,Bucuresti,Bucuresti,,,,330,272,2018,standard,44.4710144,26.05023421,400000,1212.12
1094,Bucuresti,Bucuresti,,,,195,198,2019,superior,44.47105899,26.06701406,230000,1179.49
1095,Bucuresti,Bucuresti,,,,80,150,1960,standard,44.47236099,26.12822062,55000,687.5
1096,Bucuresti,Bucuresti,,,,70,126,1997,standard,44.47252758,26.1524617,88500,1264.29
1097,Bucuresti,Bucuresti,Strada,Bucegi,,133,330,1940,standard,44.47263866,26.04637453,175000,1315.79
1098,Bucuresti,Bucuresti,,,,86.25,380,1960,inferior,44.47282955,26.00839724,55000,637.68
1099,Bucuresti,Bucuresti,,,,85,270,1960,inferior,44.47307454,26.00839724,44500,523.53
1100,Bucuresti,Bucuresti,,,,242,677,1998,standard,44.47344202,26.00874057,122000,504.13
1101,Bucuresti,Bucuresti,Strada,Iovatorilor,,430,480,2003,standard,44.47507468,26.04440738,305000,709.3
1102,Bucuresti,Bucuresti,,,,98,220,1976,standard,44.47556176,26.15425113,105000,1071.43
1103,Bucuresti,Bucuresti,Strada,Nicolae Apostol,,75,241,1970,inferior,44.47618496,26.16651338,85000,1133.33
1104,Bucuresti,Bucuresti,Strada,Oituz,,160,300,1990,standard,44.47628294,26.14437906,87000,543.75
1105,Bucuresti,Bucuresti,,,,96,190,1968,standard,44.47744932,26.03959437,115000,1197.92
1106,Bucuresti,Bucuresti,,,,186,212,2012,standard,44.4796995,26.0274875,167900,902.69
1107,Bucuresti,Bucuresti,,,,110,320,1970,standard,44.48014947,26.03265834,110000,1000
1108,Bucuresti,Bucuresti,,,,150,212,2010,standard,44.48018941,26.02668641,170000,1133.33
1109,Bucuresti,Bucuresti,,,,132,264,1970,standard,44.48109395,26.03035219,128000,969.7
1110,Bucuresti,Bucuresti,,,,245,300,2018,standard,44.48157875,26.09893858,329900,1346.53
1111,Bucuresti,Bucuresti,,,,270,300,2018,standard,44.48179309,26.09755098,335000,1240.74
1112,Bucuresti,Bucuresti,,,,313,665,2005,standard,44.48179309,26.09879076,550000,1757.19
1113,Bucuresti,Bucuresti,,,,570,340,2000,standard,44.48252794,26.09947741,700000,1228.07
1114,Bucuresti,Bucuresti,Strada,Salcutei,,210,150,2010,standard,44.4826141,26.02138397,149900,713.81
1115,Bucuresti,Bucuresti,Strada,Lacul Ianca,,120,260,1975,standard,44.48264327,26.14634144,56000,466.67
1116,Bucuresti,Bucuresti,,,,350,633,2002,standard,44.4846712,26.09775126,555000,1585.71
1117,Bucuresti,Bucuresti,,,,98,273,1952,standard,44.48525847,26.02014719,98000,1000
1118,Bucuresti,Bucuresti,,,,87,192,1972,standard,44.48543782,26.02134475,79000,908.05
1119,Bucuresti,Bucuresti,,,,300,400,2001,standard,44.48756915,26.07052657,420000,1400
1120,Bucuresti,Bucuresti,,,,670,900,2002,standard,44.48802755,26.01560472,599000,894.03
1121,Bucuresti,Bucuresti,,,,300,300,>2000,standard,44.48932656,26.06138349,350000,1166.67
1122,Bucuresti,Bucuresti,,,,650,375,2011,superior,44.48932656,26.0608685,1250000,1923.08
1123,Bucuresti,Bucuresti,,,,150,365,2007,standard,44.48957148,26.05983853,185000,1233.33
1124,Bucuresti,Bucuresti,,,,230,300,2004,superior,44.48958337,26.06172336,410000,1782.61
1125,Bucuresti,Bucuresti,,,,140,300,2015,standard,44.49066044,26.00951074,135000,964.29
1126,Bucuresti,Bucuresti,,,,750,1400,1996,standard,44.49359768,26.07550826,999900,1333.2
1127,Bucuresti,Bucuresti,,,,345,456,1990,standard,44.49645176,26.06747209,420000,1217.39
1128,Bucuresti,Bucuresti,Strada,Garlei,,264.5,391,2010,standard,44.4970175,26.06902434,370000,1398.87
1129,Bucuresti,Bucuresti,Strada,Garlei,,333,922,2004,standard,44.49739248,26.06805875,490000,1471.47
1130,Bucuresti,Bucuresti,Strada,Podului,17,250,450,1940,standard,44.49743199,26.02701117,175000,700
1131,Bucuresti,Bucuresti,,,,300,550,1994,standard,44.49909429,26.06418498,365000,1216.67
1132,Bucuresti,Bucuresti,,,,105,287,1980,standard,44.50220582,26.05833581,138000,1314.29
1133,Bucuresti,Bucuresti,,,,430,311,1999,standard,44.50602643,26.02915279,275000,639.53
1134,Bucuresti,Bucuresti,Strada,Cotnari,,300,300,1997,standard,44.50888073,26.02563619,225000,750
1135,Bucuresti,Bucuresti,Strada,Dunacesti,,172.5,408,<2000,standard,44.51086202,26.01708908,95000,550.72
1136,Bucuresti,Bucuresti,,,,136,160,2009,standard,44.52172087,26.04946547,135800,998.53
1137,Bucuresti,Bucuresti,,,,160,200,2010,standard,44.52188034,26.04969374,129000,806.25
1138,Bucuresti,Bucuresti,,,,600,1700,2010,standard,44.52224751,26.05003706,580000,966.67
1139,Vadu Pasii,Buzau,,,,141.45,5314,1975,inferior,45.1351616,26.91036706,50000,353.48
1140,Buzau,Buzau,,,,74,224,<2000,inferior,45.13984036,26.81929717,45000,608.11
1141,Buzau,Buzau,,,,200,290,2014,standard,45.14115933,26.83367729,87000,435
1142,Maracineni,Buzau,,,,120,1000,1993,inferior,45.1420457,26.72989275,20287,169.06
1143,Buzau,Buzau,Strada,Libertatii,,262.2,330,2006,standard,45.14488558,26.83200706,145000,553.01
1144,Buzau,Buzau,Strada,13 Decembire,3,105,190,1927,inferior,45.14491474,26.82686967,70000,666.67
1145,Buzau,Buzau,Strada,Independentei,,216,283,>2000,standard,45.14514396,26.8150153,140000,648.15
1146,Buzau,Buzau,Strada,Independentei,,216,283,>2000,standard,45.14514396,26.8150153,140000,648.15
1147,Buzau,Buzau,,,,80,1111,1985,inferior,45.14586247,26.84460998,42000,525
1148,Buzau,Buzau,Strada,Dorobanti,,103.5,181,<2000,standard,45.14818596,26.83803452,79500,768.12
1149,Buzau,Buzau,Strada,Alexandru Maghilorman,,380,360,2010,standard,45.14900568,26.83568014,195000,513.16
1150,Buzau,Buzau,Strada,Alexandru Marghiloman,,380,360,2011,standard,45.14912675,26.83587326,195000,513.16
1151,Buzau,Buzau,Strada,Alexandru Marghiloman,,69,176,1965,inferior,45.15064006,26.83394207,50000,724.64
1152,Buzau,Buzau,Strada,Bucegi,,365.7,700,2000,standard,45.15168768,26.82919339,280000,765.65
1153,Buzau,Buzau,,,,480,460,2012,standard,45.15299763,26.80096454,350000,729.17
1154,Buzau,Buzau,Strada,Fundatura Garlei,,130,187,1980,standard,45.15403395,26.82907971,90000,692.31
1155,Buzau,Buzau,,,,170,220,2005,standard,45.15417044,26.804623,135000,794.12
1156,Vadu Pasii,Buzau,,,,155,755,1980,standard,45.15901257,26.88204293,24351.84,157.11
1157,Vadu Pasii,Buzau,,,,253,755,<1990,standard,45.15937571,26.88101296,32000,126.48
1158,Vadu Pasii,Buzau,,,,184,12400,<1990,inferior,45.15949675,26.88169961,50000,271.74
1159,Stalpu,Buzau,,,,299,2200,>2000,standard,45.17459507,26.8418986,124500,416.39
1160,Maracineni,Buzau,,,,195.5,1000,1980,superior,45.17687334,26.86087247,25000,127.88
1161,Maracineni,Buzau,,,,195.5,700,<1990,standard,45.18106887,26.80919398,68000,347.83
1162,Maracineni,Buzau,,,,86.25,400,<1990,inferior,45.18288383,26.81054582,21141,245.11
1163,Stalpu,Buzau,,,,190,1250,2010,standard,45.18409376,26.81209077,100000,526.32
1164,Stalpu,Buzau,,,,170,450,2018,standard,45.18457773,26.81123246,83000,488.24
1165,Stalpu,Buzau,,,,170,450,2018,standard,45.18485623,26.81012631,83000,488.24
1166,Stalpu,Buzau,,,,276,1370,>2000,standard,45.18520532,26.81146039,150000,543.48
1167,Cochirleanca,Buzau,,,,81,1751,<1990,inferior,45.19408881,26.97757564,13830,170.74
1168,Maracineni,Buzau,,,,103.5,1600,1970,inferior,45.21788108,26.86001754,17000,164.25
1169,Cochirleanca,Buzau,,,,100,1700,<2000,standard,45.27888776,27.03756818,30000,300
1170,Cochirleanca,Buzau,,,,55,668,<1990,inferior,45.28131584,27.00451726,10000,181.82
1171,Cochirleanca,Buzau,,,,100,1750,<2000,inferior,45.28736016,27.02226764,17900,179
1172,Beceni,Buzau,,,,64,1250,<1990,inferior,45.29925019,26.75324275,10561.98,165.03
1173,Balta Alba,Buzau,,,,148,464,>2000,standard,45.30598289,27.17508275,40000,270.27
1174,Ramnicelu,Buzau,,,,140.3,464,<2010,standard,45.30874243,27.17557152,40000,285.1
1175,Ramnicelu,Buzau,,,,115,2000,<1990,inferior,45.32185512,27.24013288,8000,69.57
1176,Ramnicelu,Buzau,,,,115,1700,1980,inferior,45.32348068,27.23788724,16861,146.62
1177,Beceni,Buzau,,,,115,800,<1990,standard,45.34193398,26.77362382,20000,173.91
1178,Ramnicelu,Buzau,,,,230,1600,2008,standard,45.35972667,27.0432206,60000,260.87
1179,Ramnicelu,Buzau,,,,222,375,>2000,standard,45.36256114,27.11059769,56000,252.25
1180,Ramnicelu,Buzau,,,,103.5,1400,<1990,inferior,45.36376055,27.11061587,35000,338.16
1181,Ramnicelu,Buzau,,,,39.1,979,<1990,inferior,45.36808165,27.02406823,30000,767.26
1182,Ramnicelu,Buzau,,,,90.85,2753,<1990,inferior,45.36904948,27.02541926,24000,264.17
1183,Beceni,Buzau,,,,100,500,1970,inferior,45.37606943,26.76795899,15000,150
1184,Balta Alba,Buzau,,,,184,2000,>2000,standard,45.44060626,27.23592077,55000,298.91
1185,Ramnicelu,Buzau,,,,210,1500,1978,standard,45.4821407,27.05679798,30000,142.86
1186,Balta Alba,Buzau,,,,138,4500,2008,standard,45.50750446,26.96500636,40000,289.86
1187,Chirnogi,Calarasi,,,,100,800,<1990,inferior,44.10912779,26.57215115,17000,170
1188,Chirnogi,Calarasi,,,,195.5,1500,<1990,inferior,44.11011383,26.57438275,27000,138.11
1189,Chirnogi,Calarasi,,,,120,1156,1953,inferior,44.11097659,26.57146451,17000,141.67
1190,Curcani,Calarasi,,,,70,400,<1990,inferior,44.1115365,26.57279964,21000,300
1191,Chirnogi,Calarasi,,,,85.1,917,1955,inferior,44.11257884,26.57318112,20000,235.02
1192,Spantov,Calarasi,,,,138,1200,1954,inferior,44.1227289,26.78815068,14900,107.97
1193,Curcani,Calarasi,,,,130,2250,<2000,standard,44.168538,26.61056045,36500,280.77
1194,Spantov,Calarasi,,,,120,2000,1965,inferior,44.16984097,26.85470993,10000,83.33
1195,Curcani,Calarasi,,,,260,3700,<1990,standard,44.17703347,26.63395056,50000,192.31
1196,Calarasi,Calarasi,Strada,Varianta Nord,,200,206,2010,standard,44.19602978,27.3351587,130000,650
1197,Spantov,Calarasi,,,,100,800,1980,standard,44.2005887,27.04136365,15000,150
1198,Calarasi,Calarasi,Strada,Dumbravei,113,120,560,2010,standard,44.20836536,27.30531667,75000,625
1199,Calarasi,Calarasi,Strada,Varianta Nord,,186,800,2000,standard,44.21676983,27.30202602,95000,510.75
1200,Curcani,Calarasi,,,,127,1644,<1990,inferior,44.23068666,26.49996346,28000,220.47
1201,Curcani,Calarasi,,,,100,1800,<1990,inferior,44.23162417,26.50103267,17999,179.99
1202,Frumusani,Calarasi,,,,310.5,1400,1970,inferior,44.3012801,26.30960693,67000,215.78
1203,Frumusani,Calarasi,,,,200,2070,1940,inferior,44.30152581,26.31115188,50000,250
1204,Frumusani,Calarasi,,,,150,1820,1974,inferior,44.30164867,26.31098022,50000,333.33
1205,Dragalina,Calarasi,,,,161,1750,1985,standard,44.32497081,27.32928436,42000,260.87
1206,Dragalina,Calarasi,,,,70,1600,1960,standard,44.43063572,27.34079559,20000,285.71
1207,Dragalina,Calarasi,,,,90,2000,1997,standard,44.43683099,27.16498498,35000,388.89
1208,Tamadau Mare,Calarasi,,,,89,808,1975,inferior,44.44276475,26.65654749,11665.99,131.08
1209,Tamadau Mare,Calarasi,,,,100,3928,1960,inferior,44.50608496,26.49726717,28000,280
1210,Tamadau Mare,Calarasi,,,,69,1350,<1990,inferior,44.52339094,26.67616562,17000,246.38
1211,Moldova Noua,Caras Severin,,,,120,300,<1990,standard,44.73417432,21.66503905,28000,233.33
1212,Moldova Noua,Caras Severin,,,,150,900,1930,inferior,44.73527181,21.6643524,20000,133.33
1213,Moldova Noua,Caras Severin,,,,200,3900,1999,standard,44.75106545,21.79334676,35000,175
1214,Resita,Caras Severin,,,,140,400,1970,standard,45.28776812,21.88660621,69900,499.29
1215,Resita,Caras Severin,,,,370,540,1900,standard,45.28776812,21.88677788,179000,483.78
1216,Resita,Caras Severin,,,,250,300,1980,standard,45.2878889,21.88694954,119000,476
1217,Resita,Caras Severin,Strada,Carasului,5,80,252,1960,inferior,45.29334262,21.92731701,24000,300
1218,Resita,Caras Severin,,,,230,500,2000,standard,45.2936279,21.915109,100000,434.78
1219,Resita,Caras Severin,,,,140,300,1960,standard,45.29384539,21.91882942,67000,478.57
1220,Resita,Caras Severin,,,,230,900,1970,standard,45.29440259,21.91634263,85000,369.57
1221,Resita,Caras Severin,,,,230,500,>2000,standard,45.33772757,21.85542496,115000,500
1222,Resita,Caras Severin,,,,264.5,500,>2000,standard,45.33772757,21.8563691,131000,495.27
1223,Caransebes,Caras Severin,Strada,Sorin Titel,11,450,1344,1951,standard,45.40881693,22.22292348,180000,400
1224,Caransebes,Caras Severin,Strada,Roanilor,,180,1100,1980,standard,45.41283551,22.22557858,104000,577.78
1225,Caransebes,Caras Severin,Strada,Romanilor,,130,268,1968,standard,45.41319702,22.22543911,62000,476.92
1226,Campia Turzii,Cluj,Strada,Liviu Rebreanu,,218,360,<2000,inferior,46.543246,23.88657023,79950,366.74
1227,Turda,Cluj,,,,270,1000,2006,standard,46.55773157,23.82968903,155000,574.07
1228,Campia Turzii,Cluj,,,,82.8,900,1973,superior,46.55779366,23.87023228,52000,628.02
1229,Campia Turzii,Cluj,,,,172.5,360,1977,standard,46.55798238,23.86850587,60000,347.83
1230,Turda,Cluj,Strada,Cheii,38,74.75,175,<1990,inferior,46.56153733,23.77567257,33000,441.47
1231,Turda,Cluj,,,,217,945,<1990,standard,46.56160773,23.79228106,117000,539.17
1232,Turda,Cluj,,,,179.4,671,1974,standard,46.56180374,23.77321243,100000,557.41
1233,Turda,Cluj,Strada,Razboieni,33A,140,300,2015,standard,46.56751643,23.78563132,92000,657.14
1234,Turda,Cluj,Strada,Ion Moldovan,,177.1,590,2014,standard,46.571389,23.78891822,118000,666.29
1235,Turda,Cluj,,,,220,485,2010,standard,46.57282281,23.79073064,139000,631.82
1236,Turda,Cluj,,,,140,300,2011,standard,46.57312532,23.78547374,92000,657.14
1237,Turda,Cluj,,,,220,485,2010,standard,46.57369391,23.78372669,139000,631.82
1238,Floresti,Cluj,,,,138,200,2016,standard,46.74072481,23.48127242,114000,826.09
1239,Floresti,Cluj,,,,130,40,>2000,standard,46.74085932,23.47891405,100000,769.23
1240,Floresti,Cluj,,,,310,740,2013,standard,46.74143064,23.48195906,230000,741.94
1241,Cluj Napoca,Cluj,,,,299,600,2004,standard,46.74544093,23.58626246,400000,1337.79
1242,Cluj Napoca,Cluj,,,,379.5,750,2006,standard,46.74574971,23.58701348,500000,1317.52
1243,Cluj Napoca,Cluj,,,,276,80,2007,standard,46.74735973,23.60326767,285000,1032.61
1244,Cluj Napoca,Cluj,Strada,Erkel Ferenc,,287.5,542,2005,standard,46.74873455,23.59835555,360000,1252.17
1245,Cluj Napoca,Cluj,,,,210,500,2017,standard,46.74960926,23.63871574,275000,1309.52
1246,Cluj Napoca,Cluj,,,,500,1000,2010,standard,46.7500011,23.57698513,650000,1300
1247,Cluj Napoca,Cluj,,,,245,500,2015,standard,46.75002093,23.63974571,270000,1102.04
1248,Cluj Napoca,Cluj,,,,180,350,2012,standard,46.75037379,23.63614082,267000,1483.33
1249,Cluj Napoca,Cluj,Strada,Wolfgang Goethe,,235,380,2009,standard,46.7516149,23.59688683,275000,1170.21
1250,Cluj Napoca,Cluj,,,,82,114,1960,standard,46.75265359,23.5563237,132000,1609.76
1251,Cluj Napoca,Cluj,,,,374,600,2003,standard,46.75483576,23.58212113,438000,1171.12
1252,Cluj Napoca,Cluj,,,,312,600,2004,standard,46.755365,23.58221769,440000,1410.26
1253,Cluj Napoca,Cluj,,,,252,598,2002,standard,46.75859912,23.58234644,420000,1666.67
1254,Cluj Napoca,Cluj,,,,90,190,1970,standard,46.75969938,23.56427724,135000,1500
1255,Cluj Napoca,Cluj,Strada,,,115,55,1980,standard,46.76506054,23.58487434,184900,1607.83
1256,Cluj Napoca,Cluj,,,,120,50,1945,standard,46.76536073,23.58513594,169000,1408.33
1257,Cluj Napoca,Cluj,,,,220,50,1960,standard,46.77697974,23.58563786,330000,1500
1258,Cluj Napoca,Cluj,,,,241,500,2016,standard,46.77860521,23.5789209,330000,1369.29
1259,Cluj Napoca,Cluj,,,,120,230,1979,standard,46.78135169,23.6109066,175000,1458.33
1260,Chinteni,Cluj,,,,389.85,1025,>2000,standard,46.78531484,23.46006453,260000,666.92
1261,Cluj Napoca,Cluj,,,,396,1290,2013,standard,46.78541484,23.56964001,549000,1386.36
1262,Cluj Napoca,Cluj,,,,225,480,2012,standard,46.78562699,23.56913981,299000,1328.89
1263,Cluj Napoca,Cluj,,,,230,450,2017,standard,46.7857807,23.5697364,320000,1391.3
1264,Cluj Napoca,Cluj,,,,198.95,333,2015,standard,46.78591713,23.56839805,245000,1231.47
1265,Cluj Napoca,Cluj,,,,120.75,690,<1990,standard,46.787837,23.64343643,150000,1242.24
1266,Cluj Napoca,Cluj,,,,126.5,266,1970,superior,46.78795454,23.64086151,165000,1304.35
1267,Cluj Napoca,Cluj,,,,249.55,430,2010,standard,46.78795454,23.64154816,265000,1061.91
1268,Cluj Napoca,Cluj,,,,287.5,500,2010,superior,46.78818961,23.64498138,355000,1234.78
1269,Cluj Napoca,Cluj,,,,288,500,2016,superior,46.78818961,23.64360809,355000,1232.64
1270,Cluj Napoca,Cluj,Strada,Capitan Grigore Ignat,16,170,600,1986,standard,46.7887666,23.6565865,198000,1164.71
1271,Garbau,Cluj,,,,575,3800,2012,standard,46.79007245,23.28386801,280000,486.96
1272,Baciu,Cluj,,,,172.5,454,2017,superior,46.79549224,23.52138165,199000,1153.62
1273,Baciu,Cluj,,,,185,500,2018,superior,46.79549224,23.52138165,199000,1075.68
1274,Baciu,Cluj,,,,170,704,2019,superior,46.79607984,23.52206829,165000,970.59
1275,Apahida,Cluj,,,,140,2400,1960,inferior,46.79931433,23.74850149,132000,942.86
1276,Apahida,Cluj,,,,80,500,1970,standard,46.8014295,23.74953146,77000,962.5
1277,Apahida,Cluj,,,,120,450,1990,standard,46.80189953,23.75056143,110000,916.67
1278,Garbau,Cluj,,,,264,544,2009,standard,46.84532582,23.49999085,110000,416.67
1279,Chinteni,Cluj,,,,140,588,2008,standard,46.84935428,23.53880317,115000,821.43
1280,Chinteni,Cluj,,,,300,1000,2008,standard,46.84947168,23.53820235,220000,733.33
1281,Garbau,Cluj,,,,200,1000,2008,standard,46.86295774,23.5359228,99000,495
1282,Bontida,Cluj,,,,100,1000,<2000,standard,46.89947218,23.80042915,36500,365
1283,Gherla,Cluj,,,,500,1997,1996,standard,47.0307608,23.90789385,190000,380
1284,Cuzdrioara,Cluj,,,,232,512,2007,superior,47.03156209,23.90868866,128000,551.72
1285,Gherla,Cluj,,,,172.5,365,1990,standard,47.03216484,23.91270037,70000,405.8
