ID,Oras,Judet,Tip Artera,Nume Artera,Numar,Suprafata,Suprafata2,An,Finisaje,Latitudine,Longitudine,"Pret","Preț unitar
(€/m²)"
97,Zlatna,Alba,Strada,Brazilor,1,62,129,1970,inferior,46.27159777,23.06552997,10396,167.68
98,Abrud,Alba,Strada,Brazilor,1,62,129,1970,inferior,46.27223004,23.06752555,10376,167.35
99,Zlatna,Alba,,,,97,267,<2000,standard,46.27230875,23.06415668,21999,226.79
100,Abrud,Alba,,,,95,305,<1990,inferior,46.27492917,23.06297488,20999,221.04
101,Sohodol,Alba,Strada,Bancii,7,109.25,265,<2000,standard,46.2859294,23.04585753,22000,201.37
102,Aiud,Alba,,,,145,1099,<1990,inferior,46.30446991,23.76304036,32000,220.69
103,Bucium,Alba,,,,72.45,576,1980,standard,46.30511324,23.128241,24999,345.05
104,Aiud,Alba,Strada,Marasesti,,207,3000,2011,superior,46.30584861,23.70812085,130000,628.02
105,Hoparta,Alba,,,,80.5,2000,<2000,inferior,46.30648911,23.91944732,15000,186.34
106,Aiud,Alba,,,,150,336,2008,standard,46.30742084,23.72519955,120000,800
107,Aiud,Alba,,,,400,1500,2006,superior,46.30765801,23.72348293,259000,647.5
108,Aiud,Alba,,,,600,650,2002,standard,46.3088438,23.7245129,155000,258.33
109,Aiud,Alba,,,,235,4764,<1990,standard,46.30981878,23.72512682,47000,200
110,Aiud,Alba,Strada,Transilvaniei,78,87,114,1975,inferior,46.31287709,23.72324964,26000,298.85
111,Bucium,Alba,,,,80.5,41900,<1990,inferior,46.31919032,23.05369771,19900,247.2
112,Poiana Vadului,Alba,,,,80.5,41900,<1990,inferior,46.31936821,23.05460895,19900,247.2
113,Sohodol,Alba,,,,93.15,42500,<1990,inferior,46.31949093,23.05345355,19900,213.63
114,Vidra,Alba,,,,149.5,20000,>2000,standard,46.33596767,23.00693331,85000,568.56
115,Garda De Sus,Alba,,,,140,2200,1975,standard,46.34915497,22.45374373,40000,285.71
116,Sohodol,Alba,,,,218.5,504,<2000,inferior,46.36031809,23.07585536,46000,210.53
117,Bistra,Alba,,,,190,504,<2000,inferior,46.36033305,23.07589857,46000,242.11
118,Bucium,Alba,,,,190,504,<1990,inferior,46.36034678,23.07588428,46000,242.11
119,Campeni,Alba,,,,350,600,2008,standard,46.36212469,23.04674802,165000,471.43
120,Campeni,Alba,,,,161,1500,2014,standard,46.36283546,23.04657636,95000,590.06
121,Poiana Vadului,Alba,,,,140,2200,1975,inferior,46.37387743,22.80412813,40000,285.71
122,Unirea,Alba,,,,100,3000,<1990,inferior,46.37662774,23.8092723,20000,200
123,Bistra,Alba,,,,57,3806,1960,inferior,46.37882248,23.17576976,18000,315.79
124,Campeni,Alba,,,,70,1500,2011,standard,46.38701586,23.01754432,32000,457.14
